attribute,group,n,true_default_rate,pred_pos_rate,TPR,FPR,cal_bias,brier,roc_auc,TP,FP,FN,TN,threshold,audit_date,model_version
gender,Male,31426,0.10138102208362502,0.33567746451982433,0.7802887633396108,0.2855169971671388,-0.0011138387229806812,0.07460301769711067,0.8313138416300777,2486,8063,700,20177,0.1,2026-05-19,3
gender,Female,60828,0.07006641678174524,0.20543170908134412,0.6576724542468325,0.17135735247321712,0.00051460439172063,0.054952424955129045,0.8278854434862972,2803,9693,1459,46873,0.1,2026-05-19,3
age_group,<35,25386,0.10785472307571102,0.3803671314897975,0.8009495982468955,0.32952137054044506,0.0009916553340754836,0.07928714191251314,0.8190873975878559,2193,7463,545,15185,0.1,2026-05-19,3
age_group,35-50,35776,0.08153510733452594,0.2451084525939177,0.7092903668152211,0.2039015186098177,-0.0009050108230621301,0.06205887769099165,0.8358347443184043,2069,6700,848,26159,0.1,2026-05-19,3
age_group,50-65,28660,0.05959525471039777,0.1558967201674808,0.5860655737704918,0.12863609379637875,-2.5284427769993456e-05,0.04804724954920096,0.8216191478927235,1001,3467,707,23485,0.1,2026-05-19,3
age_group,65+,2432,0.03495065789473684,0.0625,0.3058823529411765,0.05368555602897316,0.0017380825765257735,0.03169595985851701,0.8331336624978071,26,126,59,2221,0.1,2026-05-19,3
education,Higher education,22609,0.052766597372727674,0.13746738024680438,0.575859178541492,0.11304632050803137,0.0014624165828571387,0.04271640803749331,0.8433854986487295,687,2421,506,18995,0.1,2026-05-19,3
education,Incomplete higher,3026,0.07666886979510905,0.28883013879709185,0.7241379310344828,0.2526843235504653,0.01158030744479227,0.06055532318728374,0.8204233826179251,168,706,64,2088,0.1,2026-05-19,3
education,Lower secondary,1161,0.10766580534022395,0.33936261843238585,0.8,0.28378378378378377,-0.009332807540413005,0.07618479558803119,0.8375984555984557,100,294,25,742,0.1,2026-05-19,3
education,Secondary/special,65398,0.09015566225266827,0.2852839536377259,0.7349050203527816,0.24073140398642062,-0.0009585069607841584,0.06800947935070162,0.8248257119346113,4333,14324,1563,45178,0.1,2026-05-19,3
income_type,Commercial assoc.,21511,0.0725210357491516,0.22695365162010134,0.6717948717948717,0.19217081850533807,0.00179948073306406,0.056617761332126426,0.8307567643290164,1048,3834,512,16117,0.1,2026-05-19,3
income_type,State servant,6321,0.05426356589147287,0.15962664135421611,0.6472303206997084,0.13164938106390098,0.005544741648442604,0.04252390211858803,0.8471831116425923,222,787,121,5191,0.1,2026-05-19,3
income_type,Working,47790,0.09725884076166562,0.31381042059008163,0.7646299483648882,0.2652403690139539,-0.0015763871114786304,0.072399365891433,0.8275871554457597,3554,11443,1094,31699,0.1,2026-05-19,3
