feature,importance
CREDIT_TO_GOODS_RATIO,172
DAYS_BIRTH,168
EXT_SOURCE_MEAN,147
AMT_ANNUITY,143
INST_IS_LATE_MEAN,138
DAYS_EMPLOYED,129
EXT_SOURCE_1,120
BUREAU_DAYS_CREDIT_MAX,117
AMT_CREDIT,116
BUREAU_DEBT_TO_CREDIT_RATIO,116
EXT_SOURCE_3,112
INST_AMT_INSTALMENT_SUM,103
DAYS_ID_PUBLISH,99
EXT_SOURCE_MIN,97
POS_SK_ID_PREV_COUNT,90
INST_AMT_INSTALMENT_MIN,86
EXT_SOURCE_MAX,86
POS_CNT_INSTALMENT_MAX,85
BUREAU_DAYS_CREDIT_ENDDATE_MAX,85
BUREAU_CREDIT_ACTIVE_COUNT,82
CODE_GENDER_M,81
INST_PAYMENT_RATIO_MEAN,76
INST_AMT_INSTALMENT_MAX,73
INST_DAYS_INSTALMENT_MIN,73
PREV_CNT_PAYMENT_MEAN,72
EXT_SOURCE_2,70
POS_SK_DPD_DEF_MAX,69
PREV_APP_CREDIT_RATIO,68
PREV_APPROVAL_RATE,67
INST_DAYS_INSTALMENT_MEAN,65
BUREAU_AMT_CREDIT_SUM_MAX,63
PREV_STATUS_REFUSED_COUNT,63
POS_CNT_INSTALMENT_MEAN,62
DEBT_TO_INCOME_RATIO,59
PREV_AMT_DOWN_PAYMENT_SUM,56
INST_DAYS_INSTALMENT_MAX,51
BUREAU_DAYS_CREDIT_MEAN,50
DAYS_REGISTRATION,49
OWN_CAR_AGE,48
INST_DPD_MAX,48
DAYS_LAST_PHONE_CHANGE,47
POS_MONTHS_BALANCE_MAX,47
PREV_DAYS_FIRST_DUE_MAX,43
PREV_AMT_ANNUITY_MIN,42
PREV_AMT_ANNUITY_MEAN,42
BUREAU_AMT_CREDIT_SUM_MEAN,41
INST_NUM_INSTALMENT_NUMBER_MAX,41
PREV_CNT_PAYMENT_MAX,40
BUREAU_AMT_CREDIT_SUM_SUM,40
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,40
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,38
INST_DPD_MIN,38
AMT_INCOME_TOTAL,37
TOTAL_DOCUMENTS_PROVIDED,37
NAME_FAMILY_STATUS_Married,36
NAME_EDUCATION_TYPE_Higher_education,36
FLAG_OWN_CAR_Y,35
INST_AMT_PAYMENT_MIN,35
PREV_DAYS_DECISION_MAX,34
PREV_DAYS_LAST_DUE_MEAN,34
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,34
